Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
55,50,86,24,67,52,78,51,97,19,88,70
69,45,19,56,24,24,15,20,48,33,83,36
50,12,85,75,100,99,95,71,69,67,47,97
79,6,3,22,96,95,27,81,69,91,97,29
89,47,95,11,22,37,2,1,28,94,36,20
76,76,3,22,41,75,6,93,30,58,34,84
70,11,44,22,10,94,59,95,4,66,4,92
63,81,55,64,56,48,6,38,79,13,18,11
52,90,69,59,96,19,37,38,18,45,72,93
60,49,80,77,61,74,94,88,82,70,31,72
98,43,70,49,57,16,83,41,19,78,65,38
63,40,22,36,57,69,6,7,68,43,57,74
70,28,71,87,68,35,33,100,47,60,44,95
70,18,6,67,0,65,61,25,68,58,41,8
21,79,78,34,7,94,25,6,50,88,56,76
57,33,61,33,71,69,96,47,13,91,34,56
83,67,21,1,63,6,39,43,64,15,69,38
53,20,98,30,4,14,63,70,72,53,79,68
93,98,24,92,82,50,58,66,14,28,21,4
59,25,36,72,41,34,95,94,40,4,60,49
80,68,55,89,17,28,96,60,37,14,84,55
86,94,64,70,51,27,20,53,95,1,75,56
34,9,31,87,57,62,18,59,19,68,22,29
99,55,64,20,16,77,49,96,99,61,32,24
96,37,17,61,76,51,53,33,41,96,21,55
55,52,92,68,10,6,26,80,68,71,73,87
96,23,70,87,15,56,100,64,37,61,31,41
96,60,71,72,15,20,28,42,34,90,23,17
73,,55,44,50,87,37,84,76,75,16,83
23,,56,93,44,55,20,49,38,56,41,47
28,,5,,40,,28,71,,79,,90
