Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
70,92,30,1,29,74,5,5,95,70,1,96
81,54,17,56,41,11,99,5,29,12,21,100
88,75,95,1,21,91,41,82,44,12,61,53
53,3,24,78,75,52,71,21,77,2,53,30
72,56,14,59,11,56,2,0,57,66,86,59
56,37,70,49,29,78,22,45,32,2,4,97
96,27,9,88,98,5,1,71,72,58,10,48
58,99,33,85,77,19,62,53,41,8,4,12
50,72,2,71,30,32,45,87,0,13,71,16
7,3,23,15,29,71,8,10,30,48,24,97
0,10,87,20,54,50,65,99,28,22,52,88
15,36,84,86,76,18,25,74,31,83,58,47
2,55,92,79,7,31,38,60,7,53,96,54
70,50,32,63,44,86,22,49,85,51,82,2
68,22,60,89,58,68,100,84,25,98,21,41
24,91,48,28,21,71,73,90,62,12,21,42
14,96,64,22,72,59,46,55,37,4,7,24
18,83,28,63,54,10,53,80,37,56,1,77
55,49,83,65,26,28,95,99,10,34,79,69
20,25,20,11,49,56,81,61,48,74,66,27
54,0,37,11,37,52,61,59,71,90,38,29
6,30,63,88,19,0,60,29,93,43,97,10
80,32,80,65,51,59,0,78,47,1,13,87
80,23,31,62,43,96,51,97,90,96,10,4
66,13,33,52,8,74,0,70,16,57,30,76
31,26,54,52,81,5,12,24,25,29,33,20
80,2,60,29,99,33,74,58,83,30,4,68
12,45,24,69,91,58,36,62,31,60,60,69
30,,3,86,97,7,24,18,40,37,23,68
72,,9,9,3,73,70,90,3,72,43,70
16,,8,,95,,36,24,,34,,63
